Market Center,Modal Price,Commodity,State
Ponnur,1437.5,Paddy(Dhan),Andhra Pradesh
Prattipadu,1325,Paddy(Dhan),Andhra Pradesh
Prattipadu,1300,Paddy(Dhan),Andhra Pradesh
Prattipadu,1400,Paddy(Dhan),Andhra Pradesh
Prattipadu,1312.5,Paddy(Dhan),Andhra Pradesh
Proddatur,4312.5,Bengal Grams(Gram),Andhra Pradesh
Proddatur,5562.5,Cotton,Andhra Pradesh
Proddatur,1375,Paddy(Dhan),Andhra Pradesh
Proddatur,4312.5,Sunflower Seed,Andhra Pradesh
Pulivendala,650,Banana,Andhra Pradesh
Pulivendala,3625,Groundnut,Andhra Pradesh
Pulivendala,1300,Orange,Andhra Pradesh
Pulivendala,3625,Sunflower,Andhra Pradesh
Pusapatirega,2875,Groundnut,Andhra Pradesh
Pusapatirega,1125,Maize,Andhra Pradesh
Pusapatirega,1312.5,Paddy(Dhan),Andhra Pradesh
Rajahmundry,6875,Cashewnuts,Andhra Pradesh
Rajahmundry,1350,Paddy(Dhan),Andhra Pradesh
Rajahmundry,1400,Paddy(Dhan),Andhra Pradesh
Rajam,1250,Paddy(Dhan),Andhra Pradesh
Rajam,1362.5,Paddy(Dhan),Andhra Pradesh
Rajampet,687.5,Banana - Green,Andhra Pradesh
Rajampet,4250,"Gingelly (Sesamum, Sesame, Til)",Andhra Pradesh
Rajampet,1500,Paddy(Dhan),Andhra Pradesh
Rajampet,400,Papaya,Andhra Pradesh
Ramachandrapuram,1250,Paddy(Dhan),Andhra Pradesh
Rapur,575,Lemon,Andhra Pradesh
Rapur,1287.5,Paddy(Dhan),Andhra Pradesh
Ravulapelem,3375,Chilli Red,Andhra Pradesh
Ravulapelem,1400,Paddy(Dhan),Andhra Pradesh
Ravulapelem,1362.5,Paddy(Dhan),Andhra Pradesh
Rayachoti,6500,Ground Nut Seed,Andhra Pradesh
Rayachoti,1500,Paddy(Dhan),Andhra Pradesh
Rayachoti,1250,Tomato,Andhra Pradesh
Rayadurg,4250,Groundnut,Andhra Pradesh
Rayadurg,8125,Tamarind fruit,Andhra Pradesh
Rayadurg,5625,Tamarind fruit,Andhra Pradesh
Rayadurg,10000,Tamarind fruit,Andhra Pradesh
Rayadurg,1875,Tamarind fruit,Andhra Pradesh
Razole,3750,Chilli Red,Andhra Pradesh
Razole,1275,Paddy(Dhan),Andhra Pradesh
Razole,1312.5,Paddy(Dhan),Andhra Pradesh
Repalli,1381.25,Paddy(Dhan),Andhra Pradesh
Repalli,2375,Rice,Andhra Pradesh
Saluru,1100,Maize,Andhra Pradesh
Saluru,1350,Paddy(Dhan),Andhra Pradesh
Saluru,3500,Tamarind fruit,Andhra Pradesh
Sampara,1350,Paddy(Dhan),Andhra Pradesh
Sattenapalli,4875,Cotton,Andhra Pradesh
Sattenapalli,1500,Paddy(Dhan),Andhra Pradesh
Siddavatam,1500,Paddy(Dhan),Andhra Pradesh
Siddavatam,750,Papaya,Andhra Pradesh
Sompeta,8125,Cashewnuts,Andhra Pradesh
Sompeta,1312.5,Paddy(Dhan),Andhra Pradesh
Srikakulam,1281.25,Paddy(Dhan),Andhra Pradesh
Srikakulam,1362.5,Paddy(Dhan),Andhra Pradesh
Srikalahasti,7437.5,Ground Nut Seed,Andhra Pradesh
Srikalahasti,6187.5,Groundnut (Split),Andhra Pradesh
Srikalahasti,1143.75,Paddy(Dhan),Andhra Pradesh
Srikalahasti,1687.5,Paddy(Dhan),Andhra Pradesh
Sullurpet,1350,Paddy(Dhan),Andhra Pradesh
Tadepalligudem,6750,Dry Chillies,Andhra Pradesh
Tadepalligudem,1687.5,Onion,Andhra Pradesh
Tadepalligudem,687.5,Onion,Andhra Pradesh
Tadepalligudem,1237.5,Paddy(Dhan),Andhra Pradesh
Tadepalligudem,1387.5,Paddy(Dhan),Andhra Pradesh
Tadepalligudem,1287.5,Paddy(Dhan),Andhra Pradesh
Tadepalligudem,1337.5,Paddy(Dhan),Andhra Pradesh
Tadepalligudem,1362.5,Paddy(Dhan),Andhra Pradesh
Tadepalligudem,3000,Rice,Andhra Pradesh
Tadepalligudem,3125,Rice,Andhra Pradesh
Tadikonda,4500,Cotton,Andhra Pradesh
Tadipatri,687.5,Banana - Green,Andhra Pradesh
Tadipatri,5500,Coriander,Andhra Pradesh
Tadipatri,4687.5,Cotton,Andhra Pradesh
Tadipatri,3625,Groundnut,Andhra Pradesh
