Market Center,Commodity,State,Loc,Year,Month,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Dharmavaram,Groundnut,Andhra Pradesh,"[77.72, 14.43]",2012,February,Tonnes,Local,3200,3400,3300,Rs/Quintal
Duggirala,Turmeric,Andhra Pradesh,"[80.6243, 16.3280]",2012,February,Tonnes,Bulb,3000,4875,4325,Rs/Quintal
Duggirala,Turmeric,Andhra Pradesh,"[80.6243, 16.3280]",2012,February,Tonnes,Finger,3000,4950,4350,Rs/Quintal
Gajapathinagaram,Paddy(Dhan),Andhra Pradesh,"[83.333, 18.3]",2012,February,Tonnes,Sona Mahsuri,1080,1090,1080,Rs/Quintal
Gajapathinagaram,Black Grams (Urd Beans),Andhra Pradesh,"[83.333, 18.3]",2012,February,Tonnes,Local,3200,3300,3250,Rs/Quintal
Gajapathinagaram,Green Grams (Moong),Andhra Pradesh,"[83.333, 18.3]",2012,February,Tonnes,Local,3500,3800,3600,Rs/Quintal
Gannavaram,Paddy(Dhan),Andhra Pradesh,"[76.53,15.43]",2012,February,Tonnes,B P T,1150,1200,1175,Rs/Quintal
Gannavaram,Rice,Andhra Pradesh,"[76.53,15.43]",2012,February,Tonnes,B P T,2200,2300,2250,Rs/Quintal
Giddalur,Bengal Grams(Gram),Andhra Pradesh,"[78.9167, 15.35]",2012,February,Tonnes,Other,3250,3450,3350,Rs/Quintal
Gooti,Paddy(Dhan),Andhra Pradesh,"[77.6340, 15.120]",2012,February,Tonnes,Other,1100,1200,1150,Rs/Quintal
Gooti,Groundnut,Andhra Pradesh,"[77.6340, 15.120]",2012,February,Tonnes,Local,3400,3500,3450,Rs/Quintal
Gopalavaram,Maize,Andhra Pradesh,"[80.2561, 13.0503]",2011,February,Tonnes,Local,840,880,860,Rs/Quintal
Gopalavaram,Paddy(Dhan),Andhra Pradesh,"[80.2561, 13.0503]",2011,February,Tonnes,Sona Mahsuri,980,1100,1050,Rs/Quintal
Gopalavaram,Maize,Andhra Pradesh,"[80.2561, 13.0503]",2012,February,Tonnes,Local,840,980,880,Rs/Quintal
Gopalavaram,Paddy(Dhan),Andhra Pradesh,"[80.2561, 13.0503]",2012,February,Tonnes,Sona Mahsuri,1000,1110,1080,Rs/Quintal
Gudur,Paddy(Dhan),Andhra Pradesh,"[79.8477, 14.1473]",2012,February,Tonnes,MTU-1010,1000,1050,1030,Rs/Quintal
Gudur,Lime,Andhra Pradesh,"[79.8477, 14.1473]",2012,February,Tonnes,Other,850,1250,1125,Rs/Quintal
Guntakal,Bengal Grams(Gram),Andhra Pradesh,"[77.38, 15.17]",2012,February,Tonnes,Gulabi,3200,3400,3300,Rs/Quintal
Guntakal,Groundnut,Andhra Pradesh,"[77.38, 15.17]",2012,February,Tonnes,TMV-2,3000,3200,3100,Rs/Quintal
Hindupur,Tamarind fruit,Andhra Pradesh,"[77.49, 13.83]",2012,February,Tonnes,Non A/c Fine,5700,8600,7150,Rs/Quintal
Hindupur,Tamarind fruit,Andhra Pradesh,"[77.49, 13.83]",2012,February,Tonnes,Non A/c Flower,4500,6100,5300,Rs/Quintal
Hindupur,Tamarind fruit,Andhra Pradesh,"[77.49, 13.83]",2012,February,Tonnes,With Seed 1Variety,2500,3500,3000,Rs/Quintal
Hiramandalam,Paddy(Dhan),Andhra Pradesh,"[83.95, 18.667]",2012,February,Tonnes,Paddy,1080,1110,1080,Rs/Quintal
Ichapuram,Paddy(Dhan),Andhra Pradesh,"[84.7, 19.12]",2012,February,Tonnes,Paddy,1080,1110,1080,Rs/Quintal
Ipur,Paddy(Dhan),Andhra Pradesh,"[79.8, 16.2333]",2012,February,Tonnes,B P T,1300,1400,1350,Rs/Quintal
Jaggampet,Paddy(Dhan),Andhra Pradesh,"[82.05, 17.1833]",2012,February,Tonnes,Swarna Masuri (New),1030,1100,1080,Rs/Quintal
Jaggayyapeta,Bhindi(Ladies Finger),Andhra Pradesh,"[80.0976, 16.8920]",2011,February,Tonnes,Bhindi,500,600,500,Rs/Quintal
Jaggayyapeta,Brinjal,Andhra Pradesh,"[80.0976, 16.8920]",2011,February,Tonnes,Brinjal,550,600,550,Rs/Quintal
Jaggayyapeta,Cucumbar,Andhra Pradesh,"[80.0976, 16.8920]",2011,February,Tonnes,Cucumbar,500,600,500,Rs/Quintal
Jaggayyapeta,Tomato,Andhra Pradesh,"[80.0976, 16.8920]",2011,February,Tonnes,Deshi,500,600,500,Rs/Quintal
Jammalamadugu,Paddy(Dhan),Andhra Pradesh,"[78.38, 14.85]",2012,February,Tonnes,Masuri,1000,1100,1050,Rs/Quintal
Jammalamadugu,Bengal Grams(Gram),Andhra Pradesh,"[78.38, 14.85]",2012,February,Tonnes,Other,3400,3500,3450,Rs/Quintal
Kadiri,Ground Nut Seed,Andhra Pradesh,"[78.17, 14.12]",2012,February,Tonnes,Ground Nut Seed,5400,5500,5450,Rs/Quintal
Kadiri,Sunflower Seed,Andhra Pradesh,"[78.17, 14.12]",2012,February,Tonnes,Sunflower Seed,3100,3200,3150,Rs/Quintal
Kadiri,Tamarind Seed,Andhra Pradesh,"[78.17, 14.12]",2012,February,Tonnes,Tamarind Seed,1500,3000,2500,Rs/Quintal
Kaikaluru,Paddy(Dhan),Andhra Pradesh,"[81.2, 16.5509]",2011,February,Tonnes,B P T,1030,1050,1040,Rs/Quintal
Kaikaluru,Paddy(Dhan),Andhra Pradesh,"[81.2, 16.5509]",2011,February,Tonnes,NO. 2716,1030,1030,1030,Rs/Quintal
Kaikaluru,Paddy(Dhan),Andhra Pradesh,"[81.2, 16.5509]",2012,February,Tonnes,MTU-1010,1110,1130,1120,Rs/Quintal
Kaikaluru,Paddy(Dhan),Andhra Pradesh,"[81.2, 16.5509]",2012,February,Tonnes,MTU-2077,1080,1100,1090,Rs/Quintal
Kakinada,Paddy(Dhan),Andhra Pradesh,"[82.33, 16.93]",2012,February,Tonnes,MTU-1010,1110,1130,1120,Rs/Quintal
Kalikiri,Tomato,Andhra Pradesh,"[78.8, 13.6333]",2012,February,Tonnes,Local,200,700,400,Rs/Quintal
Kalyandurg,Paddy(Dhan),Andhra Pradesh,"[77.1, 14.55]",2012,February,Tonnes,Sona,1080,1150,1100,Rs/Quintal
Kalyandurg,Groundnut,Andhra Pradesh,"[77.1, 14.55]",2012,February,Tonnes,TMV-2,7000,8000,7500,Rs/Quintal
Kalyandurg,Tamarind fruit,Andhra Pradesh,"[77.1, 14.55]",2012,February,Tonnes,Non A/c Fine,7500,9500,8500,Rs/Quintal
Kalyandurg,Tamarind fruit,Andhra Pradesh,"[77.1, 14.55]",2012,February,Tonnes,Non A/c Flower,5000,6500,5500,Rs/Quintal
Kamalapuram,Bengal Grams(Gram),Andhra Pradesh,"[78.66257, 14.60838]",2012,February,Tonnes,Ordinary (Split),3000,3200,3100,Rs/Quintal
Kamalapuram,Cotton,Andhra Pradesh,"[78.66257, 14.60838]",2012,February,Tonnes,cotton (Ginned),3400,3600,3500,Rs/Quintal
Kanchili,Paddy(Dhan),Andhra Pradesh,"[84.582, 18.981]",2012,February,Tonnes,Paddy,1080,1100,1080,Rs/Quintal
Kanchili,Jack Fruit,Andhra Pradesh,"[84.582, 18.981]",2012,February,Tonnes,Jack Fruit,200,300,220,Rs/Quintal
Kandukur,Paddy(Dhan),Andhra Pradesh,"[78.48869, 17.06367]",2012,February,Tonnes,B P T,1250,1350,1300,Rs/Quintal
Kandukur,Rice,Andhra Pradesh,"[78.48869, 17.06367]",2012,February,Tonnes,B P T,2250,2350,2300,Rs/Quintal
Kandukur,Bengal Grams(Gram),Andhra Pradesh,"[78.48869, 17.06367]",2012,February,Tonnes,Bengal Gram (Split),4450,4550,4500,Rs/Quintal
Kanigiri,Bajra(Pearl Millet),Andhra Pradesh,"[79.5167, 15.4]",2011,February,Tonnes,Bold,840,890,870,Rs/Quintal
Kanigiri,Bajra(Pearl Millet),Andhra Pradesh,"[79.5167, 15.4]",2012,February,Tonnes,Bold,960,980,970,Rs/Quintal
Kanigiri,Red Grams,Andhra Pradesh,"[79.5167, 15.4]",2012,February,Tonnes,(Whole),3300,3400,3350,Rs/Quintal
Kavali,Paddy(Dhan),Andhra Pradesh,"[79.99298, 14.91318]",2012,February,Tonnes,MTU-1010,1080,1150,1120,Rs/Quintal
Koduru,Papaya,Andhra Pradesh,"[81.0417, 16.0022]",2011,February,Tonnes,Papaya,310,310,310,Rs/Quintal
